Core-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-3,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
99.99,3724.87,1.55,0.65,0.00,0.32,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2478.00,511.00,20.62,1039.77,
100.00,3724.50,1.55,0.64,0.00,0.32,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2446.00,469.00,19.17,943.23,
100.01,3723.96,1.55,0.65,0.00,0.29,0.00,0.06,0.02,0.26,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2469.00,482.00,19.52,915.81,
100.00,3724.40,1.55,0.64,0.00,0.37,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2488.00,542.00,21.78,1068.86,
100.01,3724.64,1.55,0.65,0.00,0.34,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2462.00,460.00,18.68,1214.31,
100.00,3724.25,1.54,0.65,0.00,0.32,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2873.00,614.00,21.37,910.51,
100.00,3691.98,1.55,0.64,0.00,0.31,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2422.00,468.00,19.32,962.63,
100.05,3707.85,1.55,0.65,0.00,0.36,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2431.00,478.00,19.66,1063.46,
100.03,3713.86,1.55,0.65,0.00,0.31,0.00,0.07,0.02,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2550.00,534.00,20.94,811.28,
99.97,3693.47,1.55,0.65,0.00,0.32,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2475.00,496.00,20.04,982.65,
