Core-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCX-3,,,,
Utilization (%),Eff Freq,IPC (Sys + User),CPI (Sys + User),Branch Misprediction Ratio,IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),DC Fills From Same CCX (pti),DC Fills From different CCX in same node (pti),DC Fills From Local Memory (pti),DC Fills From Remote CCX Cache (pti),DC Fills From Remote Memory (pti),All DC Fills (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,
99.96,3726.39,1.55,0.65,0.00,0.31,0.00,0.06,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2470.00,486.00,19.68,1276.91,
99.97,3725.19,1.55,0.65,0.00,0.26,0.00,0.09,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2440.00,572.00,23.44,1029.98,
100.00,3726.15,1.55,0.65,0.00,0.34,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2603.00,582.00,22.36,1115.33,
100.11,3723.84,1.55,0.64,0.00,0.35,0.00,0.07,0.03,0.29,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2531.00,557.00,22.01,1060.10,
100.03,3724.31,1.54,0.65,0.00,0.32,0.00,0.06,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2517.00,462.00,18.36,918.60,
100.01,3725.20,1.55,0.65,0.00,0.32,0.00,0.10,0.03,0.40,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2760.00,490.00,17.75,1026.95,
100.02,3725.39,1.55,0.65,0.00,0.32,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2550.00,510.00,20.00,908.27,
99.98,3726.02,1.55,0.65,0.00,0.31,0.00,0.07,0.02,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2501.00,478.00,19.11,1141.72,
100.01,3701.39,1.55,0.65,0.00,0.30,0.00,0.08,0.02,0.34,0.01,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2477.00,473.00,19.10,1178.38,
99.99,3725.21,1.55,0.64,0.00,0.33,0.00,0.08,0.02,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.05,0.01,0.01,0.01,0.00,0.00,0.00,0.04,0.03,0.01,0.00,2580.00,544.00,21.09,821.46,
100.02,3703.75,1.53,0.65,0.00,0.31,0.00,0.08,0.02,0.35,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,3666.00,1255.00,34.23,886.27,
100.02,3694.25,1.54,0.65,0.00,0.32,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2525.00,515.00,20.40,1158.88,
99.99,3703.17,1.55,0.65,0.00,0.31,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2450.00,490.00,20.00,973.13,
100.04,3708.50,1.55,0.65,0.00,0.32,0.00,0.08,0.02,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2475.00,488.00,19.72,1021.57,
100.00,3709.10,1.55,0.65,0.00,0.30,0.00,0.06,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.03,0.02,0.01,0.01,0.00,0.00,0.00,0.04,0.03,0.01,0.00,2474.00,499.00,20.17,954.96,
100.05,3708.65,1.55,0.64,0.00,0.31,0.00,0.07,0.02,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2445.00,458.00,18.73,878.31,
100.04,3724.35,1.53,0.65,0.00,0.34,0.00,0.09,0.03,0.37,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,3086.00,782.00,25.34,997.12,
100.02,3714.67,1.54,0.65,0.00,0.32,0.00,0.08,0.03,0.33,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2593.00,505.00,19.48,1148.85,
100.02,3724.32,1.55,0.65,0.00,0.32,0.00,0.07,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,2716.00,541.00,19.92,1199.52,
100.14,3718.06,1.55,0.65,0.00,0.33,0.00,0.08,0.03,0.32,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,2583.00,480.00,18.58,1609.78,
100.06,3723.21,1.55,0.65,0.00,0.33,0.00,0.07,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,2607.00,526.00,20.18,1231.22,
100.00,3713.96,1.55,0.65,0.00,0.29,0.00,0.06,0.02,0.27,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,12389.00,2213.00,17.86,1563.37,
